id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty
34783,BMW,435i Convertible,2014,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,30,20
34784,Honda,Civic,2014,Compact Cars,Auto(AV-S7),Front-Wheel Drive,4,1.8,Regular,38,29
34785,Honda,Civic,2014,Compact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,36,28
34786,Mercedes-Benz,CLA250 4matic,2014,Compact Cars,Auto(AM7),4-Wheel Drive,4,2,Premium,32,24
34787,Dodge,Dart,2014,Midsize Cars,Auto(AM6),Front-Wheel Drive,4,1.4,Premium,37,27
34788,BMW,X5 xDrive35d,2014,Standard Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,6,3,Diesel,31,23
34789,Porsche,Panamera S E-Hybrid,2014,Large Cars,Auto(AM-S8),Rear-Wheel Drive,6,3,Premium and Electricity,29,23
34790,MINI,Cooper (3-doors),2014,Subcompact Cars,Automatic (S6),Front-Wheel Drive,3,1.5,Premium,41,29
34791,MINI,Cooper (3-doors),2014,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,3,1.5,Premium,42,30
34792,MINI,Cooper S (3-doors),2014,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,38,25
34793,Chevrolet,Camaro,2014,Compact Cars,Manual 6-spd,Rear-Wheel Drive,8,7,Premium,19,13
34794,Ram,C/V,2014,Minivan - 2WD,Automatic 6-spd,Front-Wheel Drive,6,3.6,Regular,26,18
34795,BMW,Z4 sDrive28i,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,4,2,Premium,33,22
34796,BMW,Z4 sDrive28i,2015,Two Seaters,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,34,22
34797,BMW,Z4 sDrive35i,2015,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3,Premium,26,19
34798,BMW,Z4 sDrive35i,2015,Two Seaters,Auto(AM-S7),Rear-Wheel Drive,6,3,Premium,24,17
34799,BMW,Z4 sDrive35is,2015,Two Seaters,Auto(AM-S7),Rear-Wheel Drive,6,3,Premium,24,17
34800,MINI,Cooper Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,26
34801,MINI,Cooper Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,36,28
34802,MINI,Cooper S Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34803,MINI,Cooper S Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34804,MINI,John Cooper Works Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34805,MINI,John Cooper Works Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34806,MINI,Cooper Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,26
34807,MINI,Cooper S Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34808,MINI,John Cooper Works Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34809,Bentley,Continental GT Convertible,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,24,14
34810,Bentley,Continental GT,2015,Compact Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,25,15
34811,MINI,Cooper Countryman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,30,25
34812,MINI,Cooper Paceman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,30,25
34813,MINI,Cooper S Countryman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,32,25
34814,MINI,Cooper S Countryman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,32,26
34815,MINI,Cooper S Countryman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34816,MINI,Cooper S Countryman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34817,MINI,Cooper S Paceman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,32,25
34818,MINI,Cooper S Paceman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,32,26
34819,MINI,Cooper S Paceman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34820,MINI,Cooper S Paceman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34821,MINI,JCW Countryman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34822,MINI,JCW Countryman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34823,MINI,JCW Paceman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34824,MINI,JCW Paceman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34825,Volkswagen,GTI,2015,Compact Cars,Auto(AM-S6),Front-Wheel Drive,4,2,Premium,33,25
34826,Volkswagen,GTI,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,34,25
34827,Volvo,S60 FWD,2015,Compact Cars,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34828,Volvo,S60 FWD,2015,Compact Cars,Automatic (S8),Front-Wheel Drive,4,2,Premium,35,24
34829,Bentley,Flying Spur,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,24,14
34830,Chrysler,200,2015,Midsize Cars,Automatic 9-spd,Front-Wheel Drive,4,2.4,Regular,36,23
34831,Chrysler,200,2015,Midsize Cars,Automatic 9-spd,Front-Wheel Drive,6,3.6,Regular,32,19
34832,Volvo,S80 FWD,2015,Midsize Cars,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34833,BMW,X1 xDrive28i,2015,Large Cars,Automatic (S8),All-Wheel Drive,4,2,Premium,32,22
34834,BMW,X1 xDrive35i,2015,Large Cars,Automatic (S6),All-Wheel Drive,6,3,Premium,27,18
34835,BMW,X3 sDrive 28i,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,28,21
34836,Honda,Fit,2015,Small Station Wagons,Auto(AV-S7),Front-Wheel Drive,4,1.5,Regular,38,32
34837,Honda,Fit,2015,Small Station Wagons,Manual 6-spd,Front-Wheel Drive,4,1.5,Regular,37,29
34838,Volvo,V60 FWD,2015,Small Station Wagons,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34839,Acura,RDX 2WD,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
34840,Volvo,XC60 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Regular,31,24
34841,Volvo,XC70 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Regular,31,24
34842,Volvo,XC60 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Premium,30,22
34843,Acura,RDX 4WD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,19
34844,BMW,X3 xDrive28i,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,4,2,Premium,28,21
34845,BMW,X3 xDrive35i,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,6,3,Premium,26,19
34846,Volvo,XC70 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.2,Regular,25,18
34847,Volvo,XC60 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.2,Regular,25,18
34848,MINI,Cooper S Convertible,2015,Minicompact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34849,Subaru,BRZ,2015,Minicompact Cars,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,30,22
34850,Subaru,BRZ,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,4,2,Premium,34,25
34851,BMW,428i Convertible,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34852,BMW,640i Coupe,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,32,21
34853,BMW,528i,2015,Midsize Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34854,BMW,X1 sDrive28i,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34855,Honda,Fit,2015,Small Station Wagons,Automatic (variable gear ratios),Front-Wheel Drive,4,1.5,Regular,41,33
34856,Porsche,918 Spyder,2015,Two Seaters,Auto(AM-S7),All-Wheel Drive,8,4.6,Premium Gas or Electricity,24,20
34857,BMW,428i xDrive Convertible,2014,Subcompact Cars,Automatic (S8),All-Wheel Drive,4,2,Premium,33,21
34858,MINI,Cooper S (3-doors),2014,Subcompact Cars,Automatic (S6),Front-Wheel Drive,4,2,Premium,38,27
34859,BYD,e6,2014,Small Sport Utility Vehicle 2WD,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,65,61
34860,BYD,e6,2013,Small Sport Utility Vehicle 2WD,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,65,61
34861,MINI,Cooper Roadster,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,34,27
34862,MINI,Cooper Coupe,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,37,29
34863,MINI,Cooper S Roadster,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34864,MINI,Cooper S Coupe,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34865,MINI,John Cooper Works Coupe,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34866,MINI,John Cooper Works Roadster,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34867,MINI,Cooper Convertible,2015,Minicompact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,34,27
34868,MINI,John Cooper Works Convertible,2015,Minicompact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34869,BMW,640i Convertible,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,31,20
34870,BMW,640i xDrive Coupe,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,6,3,Premium,29,20
34871,BMW,640i xDrive Convertible,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,6,3,Premium,29,20
34872,BMW,435i Gran Coupe,2015,Compact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,32,21
34873,BMW,640i Gran Coupe,2015,Compact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,31,20
34874,BMW,640i xDrive Gran Coupe,2015,Compact Cars,Automatic (S8),All-Wheel Drive,6,3,Premium,29,20
34875,MINI,Cooper Countryman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,34,27
34876,MINI,Cooper Paceman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,34,27
34877,BMW,740Ld xDrive,2015,Large Cars,Automatic (S8),All-Wheel Drive,6,3,Diesel,31,23
34878,Mercedes-Benz,SLS AMG GT Coupe,2015,Two Seaters,Auto(AM7),Rear-Wheel Drive,8,6.2,Premium,19,13
34879,Mercedes-Benz,SLS AMG GT Roadster,2015,Two Seaters,Auto(AM7),Rear-Wheel Drive,8,6.2,Premium,19,13
34880,BMW,650i xDrive Coupe,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,8,4.4,Premium,25,16
34881,BMW,650i xDrive Convertible,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,8,4.4,Premium,24,16
34882,BMW,650i xDrive Gran Coupe,2015,Compact Cars,Automatic (S8),All-Wheel Drive,8,4.4,Premium,24,16
34883,BMW,Alpina B6 Gran Coupe xDrive,2015,Compact Cars,Automatic (S8),All-Wheel Drive,8,4.4,Premium,24,16
34884,Nissan,Versa,2015,Compact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.6,Regular,40,31
34885,Nissan,Versa,2015,Compact Cars,Manual 5-spd,Front-Wheel Drive,4,1.6,Regular,36,27
34886,Nissan,Versa,2015,Compact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.6,Regular,35,26
34887,BMW,X3 xDrive28d,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,4,2,Diesel,34,27
34888,Mazda,MX-5,2015,Two Seaters,Manual 5-spd,Rear-Wheel Drive,4,2,Premium,28,22
34889,Mazda,MX-5,2015,Two Seaters,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,28,21
34890,Mazda,MX-5,2015,Two Seaters,Automatic (S6),Rear-Wheel Drive,4,2,Premium,28,21
34891,Chevrolet,Spark,2015,Subcompact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.2,Regular,39,30
34892,Chevrolet,Spark,2015,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.2,Regular,39,31
34893,BMW,428i Gran Coupe,2015,Compact Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34894,Bentley,Mulsanne,2015,Midsize Cars,Automatic (S8),Rear-Wheel Drive,8,6.8,Premium,18,11
34895,Hyundai,Equus,2015,Large Cars,Automatic 8-spd,Rear-Wheel Drive,8,5,Premium,23,15
34896,Kia,Cadenza,2015,Large Cars,Automatic 6-spd,Front-Wheel Drive,6,3.3,Regular,28,19
34897,Mercedes-Benz,S550,2015,Large Cars,Automatic 7-spd,Rear-Wheel Drive,8,4.7,Premium,26,17
34898,Mercedes-Benz,S63 AMG 4matic,2015,Large Cars,Automatic 7-spd,4-Wheel Drive,8,5.5,Premium,23,15
34899,Mercedes-Benz,S550 4matic,2015,Large Cars,Automatic 7-spd,4-Wheel Drive,8,4.7,Premium,26,16
34900,Land Rover,LR2,2015,Small Sport Utility Vehicle 4WD,Automatic (S9),4-Wheel Drive,4,2,Premium,24,17
34901,Mitsubishi,i-MiEV,2014,Subcompact Cars,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,99,126
34902,BMW,650i Coupe,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,8,4.4,Premium,25,17
34903,BMW,650i Convertible,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,8,4.4,Premium,25,17
34904,BMW,M6 Coupe,2015,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,8,4.4,Premium,22,15
34905,BMW,M6 Coupe,2015,Subcompact Cars,Auto(AM-S7),Rear-Wheel Drive,8,4.4,Premium,20,14
34906,BMW,M6 Convertible,2015,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,8,4.4,Premium,22,15
34907,BMW,M6 Convertible,2015,Subcompact Cars,Auto(AM-S7),Rear-Wheel Drive,8,4.4,Premium,20,14
34908,BMW,650i Gran Coupe,2015,Compact Cars,Automatic (S8),Rear-Wheel Drive,8,4.4,Premium,25,17
34909,BMW,M6 Gran Coupe,2015,Compact Cars,Manual 6-spd,Rear-Wheel Drive,8,4.4,Premium,22,15
34910,BMW,M6 Gran Coupe,2015,Compact Cars,Auto(AM-S7),Rear-Wheel Drive,8,4.4,Premium,20,14
34911,Volvo,S60 PoleStar AWD,2015,Compact Cars,Automatic (S6),All-Wheel Drive,6,3,Regular,27,18
34912,Kia,Optima,2015,Midsize Cars,Automatic (S6),Front-Wheel Drive,4,2,Regular,31,20
34913,Infiniti,QX50,2015,Small Station Wagons,Automatic (S7),Rear-Wheel Drive,6,3.7,Premium,25,17
34914,Infiniti,QX50 AWD,2015,Small Station Wagons,Automatic (S7),All-Wheel Drive,6,3.7,Premium,24,17
34915,Volvo,V60 PoleStar AWD,2015,Small Station Wagons,Automatic (S6),All-Wheel Drive,6,3,Regular,27,18
34916,Infiniti,QX70 RWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S7),Rear-Wheel Drive,6,3.7,Premium,24,17
34917,Infiniti,QX70 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S7),All-Wheel Drive,6,3.7,Premium,22,16
34918,Nissan,Leaf,2015,Midsize Cars,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,101,126
34919,McLaren Automotive,MP4-12C Coupe,2014,Two Seaters,Automatic 7-spd,Rear-Wheel Drive,8,3.8,Premium,22,15
34920,McLaren Automotive,MP4-12C Spider,2014,Two Seaters,Automatic 7-spd,Rear-Wheel Drive,8,3.8,Premium,22,15
34921,Lamborghini,Huracan,2015,Two Seaters,Auto(AM-S7),All-Wheel Drive,10,5.2,Premium,20,14
34922,Bentley,Continental GT Convertible,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,12,6,Premium or E85,20,12
34923,Bentley,Continental GT,2015,Compact Cars,Automatic (S8),All-Wheel Drive,12,6,Premium or E85,21,12
34924,Audi,S8,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,27,17
34925,Audi,A8,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,30,18
34926,Audi,A8,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,6,3,Premium,29,19
34927,Bentley,Flying Spur,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,12,6,Premium or E85,20,12
34928,Audi,A8 L,2015,Large Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,29,18
34929,Audi,A8 L,2015,Large Cars,Automatic (S8),All-Wheel Drive,12,6.3,Premium,22,14
34930,Audi,A8 L,2015,Large Cars,Automatic (S8),All-Wheel Drive,6,3,Diesel,36,24
34931,Audi,A8 L,2015,Large Cars,Automatic (S8),All-Wheel Drive,6,3,Premium,29,19
34932,Ford,Taurus FWD FFV,2015,Large Cars,Automatic (S6),Front-Wheel Drive,6,3.5,Gasoline or E85,29,19